locationId,BathroomTypeId
67,1
68,0
231,1
232,0
233,2
401,1
402,0
557,1
558,0
559,2
617,0
618,1
736,0
737,1
738,0
739,1
832,0
833,1
834,0
835,1
914,0
915,1
916,0
917,1
956,1
957,0
1013,0
1017,1
1091,0
1099,1
1248,1
1250,1
1284,0
1285,0
1382,1
1386,0
1476,0
1477,1
1550,2
1565,0
1566,1
1758,1
1759,0
1779,1
1780,0
2001,2
1951,1
1952,0
2116,0
2117,1
2144,2
2220,1
2221,0
2227,0
2228,1
2297,1
2298,0
2393,1
2394,0
2417,1
2418,0
2459,1
2460,0
2536,1
2537,0
2603,0
2611,1
2651,0
2659,1
2711,0
2718,1
2811,0
2833,1
2984,1
2993,0
3069,2
3073,0
3074,1
3081,2
3104,2
3241,1
3242,0
3361,2
3376,2
3389,2